Title,DOI,Journal,Published on,Policy citation count,Type,Publisher,Authors,Your tags,ORCIDs
"Developing a sampling methodology for timely reporting of population‐based COVID‐19‐associated hospitalization surveillance in the United States, COVID‐NET 2020–2021",10.1111/irv.13089,Influenza and Other Respiratory Viruses,1/1/2023,1,journal-article,Wiley,Alissa O'Halloran - Centers for Disease Control and Prevention; Michael Whitaker - Centers for Disease Control and Prevention; Kadam Patel - Centers for Disease Control and Prevention; Kadam Patel - General Dynamics (United States); A Elizabeth Allen - University of Chicago; Kennon R Copeland - University of Chicago; Carrie Reed - Centers for Disease Control and Prevention; Sue Reynolds - Centers for Disease Control and Prevention; Christopher A Taylor - Centers for Disease Control and Prevention; Fiona Havers - Centers for Disease Control and Prevention; Lindsay Kim - Centers for Disease Control and Prevention; Kirk Wolter - University of Chicago; Shikha Garg - Centers for Disease Control and Prevention,,
Development and Evaluation of the Ally Sexual and Gender Minority Diversity and Inclusion Training at the Centers for Disease Control and Prevention,10.1097/phh.0000000000001617,Journal of Public Health Management and Practice,1/1/2023,2,journal-article,Ovid Technologies (Wolters Kluwer Health),"Erin Vinoski Thomas - Centers for Disease Control and Prevention, Atlanta, GA (Drs Thomas, Kidder, and Fechter-Leggett, Ms Jennings and Mr Bautista); and Academic Research Centers of NORC at University of Chicago, Chicago, Illinois (Dr Johns).",,
Use Trends and Recent Expenditures for Cervical Cancer Screening–Associated Services in Medicare Fee-for-Service Beneficiaries Older Than 65 Years,10.1001/jamainternmed.2022.5261,JAMA Internal Medicine,1/1/2023,1,journal-article,American Medical Association (AMA),"Jialun Qin - Centers for Disease Control and Prevention; Hunter K Holt - University of Illinois at Chicago; Thomas B Richards - Centers for Disease Control and Prevention; Mona Saraiya - Centers for Disease Control and Prevention; George F Sawaya - University of California, San Francisco; George F Sawaya - California HealthCare Foundation",,0000-0001-6833-8372; 0000-0001-8243-4686; 0000-0002-4527-828X; 0000-0002-9478-4218; 0000-0003-4688-1459
"Evaluation of the safety, immunogenicity, and faecal shedding of novel oral polio vaccine type 2 in healthy newborn infants in Bangladesh: a randomised, controlled, phase 2 clinical trial",10.1016/s0140-6736(22)02397-2,The Lancet,1/1/2023,3,journal-article,Elsevier BV,Khaelqu Zaman - International Centre for Diarrhoeal Disease Research,,
"Trends in breast cancer mortality by race/ethnicity, age, and US census region, United States─1999‐2020",10.1002/cncr.34503,Cancer,1/1/2023,1,journal-article,Wiley,Taylor D Ellington - National Center for Chronic Disease Prevention and Health Promotion; Taylor D Ellington - Centers for Disease Control and Prevention; Taylor D Ellington - Oak Ridge Associated Universities; S Jane Henley - National Center for Chronic Disease Prevention and Health Promotion; S Jane Henley - Centers for Disease Control and Prevention; Reda Wilson - National Center for Chronic Disease Prevention and Health Promotion; Reda Wilson - Centers for Disease Control and Prevention; Jacqueline W Miller - National Center for Chronic Disease Prevention and Health Promotion; Jacqueline W Miller - Centers for Disease Control and Prevention; Manxia Wu - National Center for Chronic Disease Prevention and Health Promotion; Manxia Wu - Centers for Disease Control and Prevention; Lisa C Richardson - National Center for Chronic Disease Prevention and Health Promotion; Lisa C Richardson - Centers for Disease Control and Prevention,,0000-0002-2420-306X; 0000-0002-3252-9625; 0000-0002-4780-8109; 0000-0002-5938-7719; 0000-0002-9555-7674; 0000-0003-4387-8975
"Risk of birth defects by pregestational type 1 or type 2 diabetes: National Birth Defects Prevention Study, 1997–2011",10.1002/bdr2.2050,Birth Defects Research,1/1/2023,1,journal-article,Wiley,"Stephanie L Marchincin - New York State Department of Health; Meredith M Howley - New York State Department of Health; Alissa R Van Zutphen - New York State Department of Health; Alissa R Van Zutphen - University at Albany, State University of New York; Sarah C Fisher - New York State Department of Health; Sarah C Tinker - National Center on Birth Defects and Developmental Disabilities; Sarah C Tinker - Centers for Disease Control and Prevention; Marilyn L Browne - New York State Department of Health; Marilyn L Browne - University at Albany, State University of New York",,
"Association of Pneumococcal Conjugate Vaccine Use With Hospitalized Pneumonia in Medicare Beneficiaries 65 Years or Older With and Without Medical Conditions, 2014 to 2017",10.1001/jamainternmed.2022.5472,JAMA Internal Medicine,1/1/2023,1,journal-article,American Medical Association (AMA),Miwako Kobayashi - Centers for Disease Control and Prevention; Michael W Spiller - Centers for Disease Control and Prevention; Xiyuan Wu - Acumen (United States); Rongrong Wang - Acumen (United States); Yoganand Chillarige - Acumen (United States); Michael Wernecke - Acumen (United States); Thomas MaCurdy - Acumen (United States); Thomas MaCurdy - Hoover Institution; Thomas MaCurdy - Stanford University; Jeffery A Kelman - Centers for Medicare and Medicaid Services; Li Deng - Centers for Disease Control and Prevention; Nong Shang - Centers for Disease Control and Prevention; Cynthia G Whitney - Emory University; Tamara Pilishvili - Centers for Disease Control and Prevention; Fernanda C Lessa - Centers for Disease Control and Prevention,,
Promotion of early childhood development and mental health in quality rating and improvement systems for early care and education: A review of state quality indicators,10.1016/j.ecresq.2023.03.006,Early Childhood Research Quarterly,1/1/2023,1,journal-article,Elsevier BV,Helena J Hutchins - Centers for Disease Control and Prevention; Helena J Hutchins - National Center on Birth Defects and Developmental Disabilities; Julia Abercrombie - National Center on Birth Defects and Developmental Disabilities; Julia Abercrombie - Centers for Disease Control and Prevention; Corey Lipton - Centers for Disease Control and Prevention; Corey Lipton - National Center on Birth Defects and Developmental Disabilities,,0000-0002-5721-7468; 0000-0002-9639-0503
"Adverse maternal, fetal, and newborn outcomes among pregnant women with SARS-CoV-2 infection: an individual participant data meta-analysis",10.1136/bmjgh-2022-009495,BMJ Global Health,1/1/2023,11,journal-article,BMJ,"Emily R Smith - Milken Institute; Emily R Smith - George Washington University; Erin Oakley - Milken Institute; Erin Oakley - George Washington University; Gargi Wable Grandner - Milken Institute; Gargi Wable Grandner - George Washington University; Kacey Ferguson - Milken Institute; Kacey Ferguson - George Washington University; Fouzia Farooq - Milken Institute; Fouzia Farooq - George Washington University; Yalda Afshar - University of California, Los Angeles; Mia Ahlberg - Karolinska Institute; Homa K Ahmadzia - George Washington University; Victor Akelo - Centers for Disease Control and Prevention; Grace M Aldrovandi - University of California, Los Angeles; Beth A Tippett Barr - Centers for Disease Control and Prevention; Elisa Bevilacqua - Agostino Gemelli University Polyclinic; Miguel Valencia-Prado - Puerto Rico Department of Health; Justin S Brandt - Rutgers, The State University of New Jersey; Nathalie Broutet - World Health Organization - Pakistan; Irene Fernández-Buhigas - Hospital Universitario de Torrejón; J Carrillo - Universidad del Desarrollo; J Carrillo - Clínica Alemana; Rebecca G Clifton - Milken Institute; Rebecca G Clifton - George Washington University; Jeanne Conry - International Federation of Gynaecology and Obstetrics; Erich Cosmi - University of Padua; F Crispi - Hospital Sant Joan de Déu Barcelona; F Crispi - University of Barcelona; F Crovetto - Hospital Sant Joan de Déu Barcelona; F Crovetto - University of Barcelona; Camille Delgado-López - Puerto Rico Department of Health; Amanda J Driscoll - University of Mary; Valerie J Flaherman - University of California, San Francisco; Chris Gale - Imperial College London; Moran Gil - Hospital Universitario de Torrejón; Sami L Gottlieb - World Health Organization - Pakistan; E Gratacós - Hospital Sant Joan de Déu Barcelona; E Gratacós - University of Barcelona; Stephanie Jones - South African Medical Research Council; Stephanie Jones - University of the Witwatersrand; Erkan Kalafat - Koç University; Sammy Khagayi - Kenya Medical Research Institute; Marian Knight - University of Oxford; Karen L Kotloff - University of Maryland, Baltimore; Antonio Lanzone - Agostino Gemelli University Polyclinic; Kirsty Le Doare - London School of Hygiene & Tropical Medicine; Silvia Visentin - University of Padua; C Lees - Imperial College London; Ethan Litman - George Washington University; Erica Lokken - University of Washington; Valentina Laurita Longo - Catholic University of the Sacred Heart; Shabir A Madhi - South African Medical Research Council; Shabir A Madhi - University of the Witwatersrand; Laura A Magee - King's College London; Raigam Jafet Martinez-Portilla - Instituto Nacional de Perinatología; Elizabeth M McClure - RTI International; Tori D Metz - University of Utah; Unknown - Northwestern University; Deborah Money - University of British Columbia; Sakita Moungmaithong - Chinese University of Hong Kong; Edward Mullins - Imperial College London; Jean B Nachega - University of Pittsburgh; Marta C Nunes - South African Medical Research Council; Marta C Nunes - University of the Witwatersrand; Dickens Onyango - Great Lakes University of Kisumu; Alice Panchaud - University of Bern; Liona C Poon - Chinese University of Hong Kong; Lesley Regan - International Federation of Gynaecology and Obstetrics; Gordon Rukundo - London School of Hygiene & Tropical Medicine; Daljit Singh Sahota - Chinese University of Hong Kong; Allie Sakowicz - Northwestern University; José Enrique Sanín-Blair - Pontifical Bolivarian University; Jonas Söderling - Karolinska Institute; Olof Stephansson - Karolinska Institute; Marleen Temmerman - Aga Khan University Nairobi; Anna Thorson - World Health Organization - Pakistan; Jorge E Tolosa - St. Luke's University Health Network; Julia Townson - Cardiff University; Peter von Dadelszen - King's College London; Kristina Adams Waldorf - University of Washington; Clare Whitehead - Royal Women's Hospital; Clare Whitehead - University of Melbourne; Jim M Tielsch - Milken Institute; Jim M Tielsch - George Washington University",,
"Results from the second WHO external quality assessment for the molecular detection of respiratory syncytial virus, 2019–2020",10.1111/irv.13073,Influenza and Other Respiratory Viruses,1/1/2023,2,journal-article,Wiley,Thomas C Williams - University of Edinburgh; Sandra Jackson - World Health Organization - Pakistan; Stephen Lindstrom - Centers for Disease Control and Prevention; Teresa C T Peret - The University of Texas Medical Branch at Galveston; Mariana Viegas - Hospital General de Niños Ricardo Gutierrez; Mariana Viegas - National Scientific and Technical Research Council; Siddhivinayak Hirve - World Health Organization - Pakistan; Wenqing Zhang - World Health Organization - Pakistan; Ndongo Dia - Institut Pasteur de Dakar; Norosoa Razanazatovo - Institut Pasteur de Madagascar; Ajaeb Al-Nabet - Hamad Medical Corporation; Abdinasir Abubakar - Ministry of Health and Population; Almiro Tivane - Ministry of Health; Amal Barakat - World Health Organization Regional Office for the Eastern Mediterranean; Amel Naguib - Ministry of Health and Population; Ammar Aziz - Peter Doherty Institute; Ammar Aziz - Victorian Infectious Diseases Reference Laboratory; Andrea Vicari - World Health Organization Regional Office for the Americas; Ann Moen - World Health Organization - Pakistan; Aron J Hall - Centers for Disease Control and Prevention; Darmaa Badarch - National Center for Communicable Diseases; Nathalie Bastien - Public Health Agency of Canada; Belinda L Herring - World Health Organization Regional Office for Africa; Braulia Costa Caetano - Oswaldo Cruz Foundation; Brett Whittaker - Centers for Disease Control and Prevention; Elsa Baumeister - Administración Nacional de Laboratorios e Institutos de Salud; Emmanuel Nakouné - Institut Pasteur de Bangui; Erica Guthrie - Centers for Disease Control and Prevention; Harish Nair - University of Edinburgh; Harry Campbell - University of Edinburgh; Hervé Kadjo - Institut Pasteur de Côte d'Ivoire; Hicham Oumzil - Institut National d'Hygiène du Maroc; Jean-Michel Heraud - Institut Pasteur de Madagascar; Joyce Namulondo - Uganda Virus Research Institute; Juliana Abigail Leite - Centers for Disease Control and Prevention; Karen Nahapetyan - World Health Organization Regional Office for the Western Pacific; Lubna Al Ariqi - World Health Organization Regional Office for the Eastern Mediterranean; Mahmoud Hamad Ibraheem Gazo - Ministry of Health and Population; Mandeep S Chadha - ICMR-National Institute of Virology; Maria Pisareva - Research Institute of Influenza; Marietjie Venter - University of Pretoria; Marilda Mendonça Siqueira - Oswaldo Cruz Foundation; Mayan U Lumandas - Research Institute for Tropical Medicine; Mbayame Ndiaye Niang - Institut Pasteur de Dakar; None Mona Albuaini - Rafik Hariri University Hospital; Muhammad Salman - Istituto Superiore di Sanità; Steve Oberste - Centers for Disease Control and Prevention; Padmini Srikantiah - Bill & Melinda Gates Foundation; Patrick Tang - Qatar Airways (Qatar); Paula Couto - Centers for Disease Control and Prevention; Peter G Smith - London School of Hygiene & Tropical Medicine; Peter Coyle - Hamad Medical Corporation; Philippe Dussart - Institut Pasteur de Madagascar; Phuong Nam Nguyen - World Health Organization Regional Office for the Western Pacific; Pilailuk Akkapaiboon Okada - National Institute of Health of Thailand; Pilailuk Akkapaiboon Okada - Department of Medical Sciences; Richard Pebody - World Health Organization Regional Office for Europe; Rodrigo Fasce - Instituto de Salud Pública de Chile; Runa Jha - National Public Health Laboratory; Runa Jha - Ministry of Health and Population; Runa Jha - Department of Health Services; Sue Gerber - Centers for Disease Control and Prevention; Varsha Potdar - ICMR-National Institute of Virology; Xiaomin Dong - Peter Doherty Institute; Xiaomin Dong - Victorian Infectious Diseases Reference Laboratory; Yi-Mo Deng - Peter Doherty Institute; Yi-Mo Deng - Victorian Infectious Diseases Reference Laboratory,,0000-0001-5528-2517; 0000-0001-7250-1013; 0000-0001-7264-3994; 0000-0001-7621-162X; 0000-0001-8284-1505; 0000-0001-9820-1473; 0000-0002-0243-7455; 0000-0002-1042-8882; 0000-0002-1499-9957; 0000-0002-1931-7660; 0000-0002-2213-1461; 0000-0002-3343-6359; 0000-0002-3384-2891; 0000-0002-3866-1344; 0000-0002-4051-3797; 0000-0002-4366-1461; 0000-0002-4620-5824; 0000-0002-6169-6262; 0000-0002-6506-1635; 0000-0002-7097-0745; 0000-0002-7220-0402; 0000-0002-7351-418X; 0000-0002-7535-7878; 0000-0002-8308-4136; 0000-0002-9427-9334; 0000-0002-9432-9100; 0000-0002-9651-7789; 0000-0003-0302-9442; 0000-0003-1604-7471; 0000-0003-2658-6831; 0000-0003-2696-824X
Pancreatic cancer survival trends in the US from 2001 to 2014: a CONCORD‐3 study,10.1002/cac2.12375,Cancer Communications,1/1/2023,1,journal-article,Wiley,Maja Nikšić - London School of Hygiene & Tropical Medicine; Pamela Minicozzi - London School of Hygiene & Tropical Medicine; Hannah K Weir - Centers for Disease Control and Prevention; Heather Zimmerman - Montana Department of Public Health and Human Services; Heather Zimmerman - National Center for Chronic Disease Prevention and Health Promotion; Maria J Schymura - New York State Department of Health; Judith R Rees - Dartmouth–Hitchcock Medical Center; Judith R Rees - Dartmouth College; Claudia Allemani - London School of Hygiene & Tropical Medicine,,0000-0001-6568-9708; 0000-0001-8940-3807; 0000-0002-3101-4953; 0000-0002-4882-5373; 0000-0002-7273-7947; 0000-0003-0587-8667; 0000-0003-4871-3766
The role of polio emergency operations centers: perspectives for future disease control initiatives in Nigeria,10.11604/pamj.supp.2023.45.2.41308,Pan African Medical Journal,1/1/2023,1,journal-article,Pan African Medical Journal,,,
Evaluation of immune response to single dose of quadrivalent HPV vaccine at 10-year post-vaccination,10.1016/j.vaccine.2022.11.044,Vaccine,1/1/2023,2,journal-article,Elsevier BV,Smita Joshi - Jehangir Hospital; Devasena Anantharaman - Rajiv Gandhi Centre for Biotechnology; Richard Muwonge - International Agency For Research On Cancer; Neerja Bhatla - All India Institute of Medical Sciences; Gitika Panicker - National Center for Emerging and Zoonotic Infectious Diseases; Julia Butt - German Cancer Research Center; Julia Butt - Heidelberg University; Usha Rani Poli - Public Health Foundation of India; Sylla G Malvi - Nargis Dutt Memorial Cancer Hospital; Sylla G Malvi - Tata Memorial Hospital; Pulikkottil Okkuru Esmy - Social Service Sericulture Project Trust; Eric Lucas - International Agency For Research On Cancer; Yogesh Kumar Verma - Sikkim Manipal University; Yogesh Kumar Verma - Institute of Medical Sciences; Aastha Shah - Gujarat Cancer & Research Institute; Eric Zomawia - Aizawl Adventist Hospital; Sharmila Pimple - Homi Bhabha National Institute; Sharmila Pimple - Tata Memorial Hospital; Kasturi Jayant - Nargis Dutt Memorial Cancer Hospital; Kasturi Jayant - Tata Memorial Hospital; Sanjay Hingmire - Nargis Dutt Memorial Cancer Hospital; Sanjay Hingmire - Tata Memorial Hospital; Aruna Chiwate - Nargis Dutt Memorial Cancer Hospital; Aruna Chiwate - Tata Memorial Hospital; Uma Divate - Jehangir Hospital; Shachi Vashist - All India Institute of Medical Sciences; Gauravi Mishra - Homi Bhabha National Institute; Gauravi Mishra - Tata Memorial Hospital; M Radhakrishna Pillai - Homi Bhabha National Institute; M Radhakrishna Pillai - Tata Memorial Hospital,,
"Epidemiology of invasive <i>Haemophilus influenzae</i> serotype a disease in the North American <i>Arctic</i>, 2006–2017",10.1080/22423982.2022.2150382,International Journal of Circumpolar Health,12/31/2022,2,journal-article,Informa UK Limited,Tammy Zulz - National Center for Emerging and Zoonotic Infectious Diseases; Tammy Zulz - Centers for Disease Control and Prevention; Grace Huang - Public Health Agency of Canada; Karen Rudolph - National Center for Emerging and Zoonotic Infectious Diseases; Karen Rudolph - Centers for Disease Control and Prevention; Carolynn DeByle - National Center for Emerging and Zoonotic Infectious Diseases; Carolynn DeByle - Centers for Disease Control and Prevention; Shalini Desai - Public Health Agency of Canada; Stephanie Massey - Alaska Department of Health and Social Services; Michael G Bruce - National Center for Emerging and Zoonotic Infectious Diseases; Michael G Bruce - Centers for Disease Control and Prevention,,
Extended surveillance to assess safety of 9-valent human papillomavirus vaccine,10.1080/21645515.2022.2159215,Human Vaccines & Immunotherapeutics,12/30/2022,1,journal-article,Informa UK Limited,Maria E Sundaram - Marshfield Clinic; Burney A Kieke - Marshfield Clinic; Kayla E Hanson - Marshfield Clinic; Edward A Belongia - Marshfield Clinic; Eric Weintraub - National Center for Immunization and Respiratory Diseases; Eric Weintraub - Centers for Disease Control and Prevention; Matthew F Daley - Kaiser Permanente; Rulin C Hechter - Kaiser Permanente; Nicola P Klein - Kaiser Permanente; Edwin Lewis - Kaiser Permanente; Allison L Naleway - Kaiser Permanente Center for Health Research; Jennifer C Nelson - Kaiser Permanente Washington Health Research Institute; James G Donahue - Marshfield Clinic,,0000-0001-5747-4643; 0000-0001-8056-3302; 0000-0001-8684-6506; 0000-0002-7430-0570; 0000-0003-0375-0504; 0000-0003-1309-4096; 0000-0003-1777-4814
"Epidemiologic and Clinical Features of Mpox in Transgender and Gender-Diverse Adults — United States, May–November 2022",10.15585/mmwr.mm715152a1,MMWR. Morbidity and Mortality Weekly Report,12/30/2022,6,journal-article,Centers for Disease Control MMWR Office,,,
"Demographic and Clinical Characteristics of Mpox in Persons Who Had Previously Received 1 Dose of JYNNEOS Vaccine and in Unvaccinated Persons — 29 U.S. Jurisdictions, May 22–September 3, 2022",10.15585/mmwr.mm715152a2,MMWR. Morbidity and Mortality Weekly Report,12/30/2022,5,journal-article,Centers for Disease Control MMWR Office,,,
Disparities in Current Cigarette Smoking Among US Adults With Mental Health Conditions,10.5888/pcd19.220184,Preventing Chronic Disease,12/22/2022,2,journal-article,Centers for Disease Control and Prevention (CDC),Unknown - National Center for Chronic Disease Prevention and Health Promotion; Unknown - Centers for Disease Control and Prevention; Teresa W Wang - National Center for Chronic Disease Prevention and Health Promotion; Teresa W Wang - Centers for Disease Control and Prevention; Christina Watson - National Center for Chronic Disease Prevention and Health Promotion; Christina Watson - Centers for Disease Control and Prevention; Ahmed Jamal - National Center for Chronic Disease Prevention and Health Promotion; Ahmed Jamal - Centers for Disease Control and Prevention,,
Attitudes and Experiences Surrounding Female Genital Mutilation/Cutting in the United States: A Scoping Review,10.1007/s10903-022-01437-2,Journal of Immigrant and Minority Health,12/21/2022,1,journal-article,Springer Nature,"Ghenet Besera - Oak Ridge Institute for Science and Education; Ghenet Besera - Centers for Disease Control and Prevention; Howard Goldberg - Independent Consultant, Atlanta, GA, Georgia.; Ekwutosi M Okoroh - Centers for Disease Control and Prevention; Margaret C Snead - Centers for Disease Control and Prevention; Mary M Goodwin - Centers for Disease Control and Prevention",,0000-0002-5020-3311
Comprehensive characterization of toxins during progression of inhalation anthrax in a non-human primate model,10.1371/journal.ppat.1010735,PLoS Pathogens,12/19/2022,1,journal-article,Public Library of Science (PLoS),Anne Boyer - Centers for Disease Control and Prevention; Maribel Gallegos-Candela - Centers for Disease Control and Prevention; Renato C Lins - Centers for Disease Control and Prevention; Renato C Lins - Analytical Services; Renato C Lins - Battelle; Maria I Solano - Centers for Disease Control and Prevention; Adrian R Woolfitt - Centers for Disease Control and Prevention; John S Lee - Biomedical Advanced Research and Development Authority; Daniel Sanford - Battelle; Katherine A B Knostman - Battelle; Conrad P Quinn - Centers for Disease Control and Prevention; Alex R Hoffmaster - Centers for Disease Control and Prevention; James L Pirkle - Centers for Disease Control and Prevention; John R Barr - Centers for Disease Control and Prevention,,0000-0001-6431-2175; 0000-0001-7495-311X; 0000-0002-1576-8157; 0000-0003-3663-6230
"Drivers of COVID-19 policy stringency in 175 countries and territories: COVID-19 cases and deaths, gross domestic products per capita, and health expenditures",10.7189/jogh.12.05049,Journal of Global Health,12/17/2022,1,journal-article,International Society of Global Health,Mohamed F Jalloh - Centers for Disease Control and Prevention; Mohamed F Jalloh - Center for Global Health; Zangin Zeebari - Karolinska Institute; Zangin Zeebari - Jönköping University; Sophia A Nur - Centers for Disease Control and Prevention; Sophia A Nur - Center for Global Health; Dimitri Prybylski - Centers for Disease Control and Prevention; Dimitri Prybylski - Center for Global Health; Aasli A Nur - University of Washington; Avi J Hakim - Centers for Disease Control and Prevention; Avi J Hakim - Center for Global Health; Maike Winters - Karolinska Institute; Maike Winters - Yale New Haven Health System; Maike Winters - Yale University; Laura C Steinhardt - Centers for Disease Control and Prevention; Laura C Steinhardt - Center for Global Health; Wangeci Gatei - Centers for Disease Control and Prevention; Wangeci Gatei - Center for Global Health; Saad B Omer - Yale New Haven Health System; Saad B Omer - Yale University; Noel T Brewer - University of North Carolina at Chapel Hill; Helena Nordenstedt - Danderyds sjukhus; Helena Nordenstedt - Karolinska Institute,,0000-0001-7507-1143; 0000-0003-0915-6506; 0000-0003-2733-4441
"Countrywide insecticide resistance monitoring and first report of the presence of the L1014S knock down resistance in Niger, West Africa",10.1186/s12936-022-04410-4,Malaria Journal,12/16/2022,1,journal-article,Springer Nature,Hadiza Soumaila - United Nations Children's Fund Niger; Boubé Hamani - National Hospital Niamey; Ibrahim Arzika - Centre de Recherche Médicale et Sanitaire; Amadou Soumana - Centre de Recherche Médicale et Sanitaire; Abdoulaye Daouda - National Hospital Niamey; Fatoumata Abdoulaye Daouda - National Hospital Niamey; Souleymane Mahaman Iro - Centre de Recherche Médicale et Sanitaire; Samira Gouro - National Hospital Niamey; Maman Sani Zaman-Allah - National Hospital Niamey; Izamné Mahamadou - Centre de Recherche Médicale et Sanitaire; Saadou Kadri - Centre de Recherche Médicale et Sanitaire; Noura Maman Salé - Centre de Recherche Médicale et Sanitaire; Wilfried Hounkanrin - Centre de Recherche Médicale et Sanitaire; Boubacar Mahamadou - Centre de Recherche Médicale et Sanitaire; Halima Zamaka - Centre de Recherche Médicale et Sanitaire; Rabiou Labbo - Centre de Recherche Médicale et Sanitaire; Ibrahim Maman Laminou - Centre de Recherche Médicale et Sanitaire; Hadiza Jackou - National Hospital Niamey; Sabiti Idrissa - National Hospital Niamey; Els Mathieu - Centers for Disease Control and Prevention; Jenny Carlson - U.S. President's Malaria Initiative; Ellen M Dotson - Centers for Disease Control and Prevention; T S Awolola - Centers for Disease Control and Prevention; Cecilia Flatley - Vector (United States); Joseph Chabi - Vector (United States),,0000-0001-5059-5370; 0000-0003-1988-5403
Council of State and Territorial Epidemiologists/CDC Surveillance Case Definition for Multisystem Inflammatory Syndrome in Children Associated with SARS-CoV-2 Infection — United States,10.15585/mmwr.rr7104a1,MMWR. Recommendations and Reports,12/16/2022,1,journal-article,Centers for Disease Control MMWR Office,,,
"Early Estimates of Bivalent mRNA Vaccine Effectiveness in Preventing COVID-19–Associated Emergency Department or Urgent Care Encounters and Hospitalizations Among Immunocompetent Adults — VISION Network, Nine States, September–November 2022",10.15585/mmwr.mm715152e1,MMWR. Morbidity and Mortality Weekly Report,12/16/2022,25,journal-article,Centers for Disease Control MMWR Office,,,
"Progress Toward Measles and Rubella Elimination — India, 2005–2021",10.15585/mmwr.mm7150a1,MMWR. Morbidity and Mortality Weekly Report,12/16/2022,1,journal-article,Centers for Disease Control MMWR Office,,,
"Prevalence of SARS-CoV-2 and Influenza Coinfection and Clinical Characteristics Among Children and Adolescents Aged &lt;18 Years Who Were Hospitalized or Died with Influenza — United States, 2021–22 Influenza Season",10.15585/mmwr.mm7150a4,MMWR. Morbidity and Mortality Weekly Report,12/16/2022,3,journal-article,Centers for Disease Control MMWR Office,,,
"COVID-19 and Other Underlying Causes of Cancer Deaths — United States, January 2018–July 2022",10.15585/mmwr.mm7150a3,MMWR. Morbidity and Mortality Weekly Report,12/16/2022,2,journal-article,Centers for Disease Control MMWR Office,,,
Exposure to the anti-microbial chemical triclosan disrupts keratinocyte function and skin integrity in a model of reconstructed human epidermis,10.1080/1547691x.2022.2148781,Informa UK Limited,12/16/2022,1,works,Informa UK Limited,Rachel Baur - National Institute for Occupational Safety and Health; Rachel Baur - West Virginia University; Michael L Kashon - National Institute for Occupational Safety and Health; Ewa Lukomska - National Institute for Occupational Safety and Health; Lisa M Weatherly - National Institute for Occupational Safety and Health; Hillary L Shane - National Institute for Occupational Safety and Health; Stacey E Anderson - National Institute for Occupational Safety and Health,,
"Drug Overdose Deaths Among Persons Aged 10–19 Years — United States, July 2019–December 2021",10.15585/mmwr.mm7150a2,MMWR. Morbidity and Mortality Weekly Report,12/16/2022,10,journal-article,Centers for Disease Control MMWR Office,Lauren J Tanz - National Center for Injury Prevention and Control; Amanda T Dinwiddie - National Center for Injury Prevention and Control; Christine L Mattson - National Center for Injury Prevention and Control; Julie O’Donnell - National Center for Injury Prevention and Control; Nicole L Davis - National Center for Injury Prevention and Control,,
"<i>Notes from the Field: Burkholderia pseudomallei</i> Detected in a Raccoon Carcass Linked to a Multistate Aromatherapy-Associated Melioidosis Outbreak — Texas, 2022",10.15585/mmwr.mm7150a5,MMWR. Morbidity and Mortality Weekly Report,12/16/2022,1,journal-article,Centers for Disease Control MMWR Office,,,
"Early Estimates of Bivalent mRNA Vaccine Effectiveness in Preventing COVID-19–Associated Hospitalization Among Immunocompetent Adults Aged ≥65 Years — IVY Network, 18 States, September 8–November 30, 2022",10.15585/mmwr.mm715152e2,MMWR. Morbidity and Mortality Weekly Report,12/16/2022,23,journal-article,Centers for Disease Control MMWR Office,,,
"Annual report to the nation on the status of cancer, part 1: National cancer statistics",10.1002/cncr.34479,Cancer,12/15/2022,3,journal-article,Wiley,"Kathleen A Cronin - National Cancer Institute; Susan Scott - National Cancer Institute; Albert U Firth - Information Management Services; Hyuna Sung - American Cancer Society; S Jane Henley - Division of Cancer Prevention and Control National Center for Chronic Disease Prevention and Health Promotion, Centers for Disease Control and Prevention  Atlanta Georgia USA; Recinda L Sherman - North American Association of Central Cancer Registries; Rebecca L Siegel - American Cancer Society; Robert N Anderson - National Center for Health Statistics; Betsy A Kohler - North American Association of Central Cancer Registries; Vicki B Benard - Division of Cancer Prevention and Control National Center for Chronic Disease Prevention and Health Promotion, Centers for Disease Control and Prevention  Atlanta Georgia USA; Serban Negoita - National Cancer Institute; Charles Wiggins - New Mexico Cancer Center; William G Cance - American Cancer Society; Ahmedin Jemal - American Cancer Society",,
